Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2026|BALI|EQUITY|3934592500|1380|38033102|2491490721|0|0|250493927|170659300|113945450|0|0|3064622500|0|191049900|0|135686700|1163400|0|0|0|100000000|427900000
31-MAR-2026|BANK|EQUITY|14939731085|530|1887072500|9323060235|653300|0|254485316|805693700|168125907|300|0|12439091258|6578900|956833807|71810437|249165532|132425|114682200|2932626|0|149356389|1551492316
31-MAR-2026|BAPA|EQUITY|661784520|78|0|373743900|0|0|188267203|0|96385617|0|0|658396720|0|1032500|0|575100|37900|0|1737300|0|0|3382800
31-MAR-2026|BAPI|EQUITY|5591980103|30|38067999|971556620|1114534|52297656|2122824683|116102322|11848613|1068889|102500|3314983816|0|0|0|40100|19336537|0|6944300|0|0|26320937
31-MAR-2026|BATA|EQUITY|1300000000|61|0|514400|0|50000|159158070|0|0|0|0|159722470|0|0|0|55813800|1677700|0|3296500|0|0|60788000
31-MAR-2026|BATR|EQUITY|3025037353|86|0|362976500|0|0|2659419253|0|0|0|0|3022395753|0|0|0|2489700|149500|0|2400|0|0|2641600
31-MAR-2026|BAUT|EQUITY|4800182969|35|0|754405200|0|0|1443225429|0|40|41000|58000|2197729669|0|2600000000|0|900|2452400|0|0|0|0|2602453300
31-MAR-2026|BAYU|EQUITY|353220780|1400|607283|124443497|0|27384|31435625|21343300|11081|0|0|177868170|0|30672043|0|131668114|167841|0|772000|0|4250787|167530785
31-MAR-2026|BBCA|EQUITY|123275050000|6450|2125126585|492578985|309783800|402714300|9820289938|1019523518|60848952|64525960|7459100|14302851138|630807553|1567042577|5379818915|2299031390|321460580|19360076931|435865754|255131605|7901604677|38150839982
31-MAR-2026|BBHI|EQUITY|21730256442|1335|3181|17447890504|0|112750100|1057230743|1457972|21259723|410|4813200|18645405833|0|2346460293|234000|409735902|3674180|4047400|1359530|0|102036739|2867548044
31-MAR-2026|BBKP|EQUITY|187887539870|62|52505100|2937825476|18028342|17583720|23032874330|58883300|272633538|3101554|871843035|27265278395|0|31905551814|66|392391641|206055130|177329005|153882628|0|892830848|33728041132
31-MAR-2026|BBLD|EQUITY|1645796054|795|44715685|1239303040|0|1283|28569823|1125300|33489|0|0|1313748620|0|4996895|0|251364997|70638214|0|193004|0|3530300|330723410
31-MAR-2026|BBMD|EQUITY|4090090000|1980|0|200|0|60965400|194721100|0|0|0|0|255686700|0|0|0|300|63249300|0|111063700|0|0|174313300
31-MAR-2026|BBNI|EQUITY|37297312916|3760|2586113225|137031298|146531126|22390000|2989155133|926507224|56292627|54131642|3253496|6921405771|148625586|194347124|1391630594|601713906|3802732|4022732861|64769464|5016800|1558344410|7990983477
31-MAR-2026|BBRI|EQUITY|151559001604|3330|4596404605|644201840|556706430|1042931725|12549298323|1999017929|60737102|356719843|5504450623|27310468420|1008900300|1593068481|8353404713|3550646571|28333872|21424198117|319257966|89846862|7260912370|43628569252
31-MAR-2026|BBRM|EQUITY|8479490328|137|0|6634132384|0|0|347134261|0|258640|66|0|6981525351|0|1114168300|0|302232285|9456231|0|68946432|0|3160600|1497963848
31-MAR-2026|BBSI|EQUITY|3674723301|4720|0|3273333315|0|0|208435828|0|146|2|0|3481769291|0|168135751|0|26635|200|0|12431|0|0|168175017
31-MAR-2026|BBSS|EQUITY|4800016020|172|0|796862800|0|0|501814720|0|0|0|0|1298677520|0|0|0|1323500|10000|0|5000|0|0|1338500
31-MAR-2026|BBTN|EQUITY|14034444413|1255|1430210624|124916301|131229923|9472289|1396915376|655865510|40374944|20707895|1328700|3811021562|23114862|67291050|233485380|261091352|2580672|847501575|57669165|56590431|253331016|1802655503
31-MAR-2026|BBYB|EQUITY|13350482346|282|39575217|6611223625|539768|0|2888489107|450770380|113816607|3285003|5737008|10113436715|0|1791114344|65432591|198240013|454765797|323576595|218870805|0|22799076|3074799221
31-MAR-2026|BCAP|EQUITY|42618850927|51|0|22637153820|49201800|0|5652134276|36800600|2606|0|19607900|28394901002|0|5921969124|0|139584100|34968600|314200|2792821620|0|5334292281|14223949925
31-MAR-2026|BCIC|EQUITY|18109922009|130|0|278294450|0|7192|230642322|205|1716584|99|39|510660891|0|5719946791|0|15366394|30093|0|45393|0|20219|5735408890
31-MAR-2026|BCIP|EQUITY|1429915525|70|18000000|659410820|44057000|0|500528805|128400809|60035201|0|90|1410432725|0|0|0|8728000|7434000|0|3320800|0|0|19482800
31-MAR-2026|BDKR|EQUITY|4725101522|148|0|1374856600|0|0|3312053422|0|0|0|0|4686910022|0|110500|0|37385600|567100|0|128300|0|0|38191500
31-MAR-2026|BDMN|EQUITY|9773552870|2540|7700841|190116112|4737610|717|356488867|7413986|6656535|1216771|103700|574435139|0|1468695|9937796|9148080260|1142906|13209610|11200731|0|10631435|9195671433
31-MAR-2026|BEBS|EQUITY|45000000000|5|0|19726560290|0|0|21343748210|0|480|2500|0|41070311480|0|795018235|0|2530697940|2535500|425000|581135645|0|19876200|3929688520
31-MAR-2026|BEEF|EQUITY|8120249598|238|795000|188400792|4342270|322027459|1713318612|0|382|130|0|2228884645|0|5732299343|0|148858362|979069|0|4054406|0|0|5886191180
31-MAR-2026|BEER|EQUITY|4000000000|129|0|3554591325|0|0|111239800|329928500|10000|120075|0|3995889700|0|0|0|4050800|58500|0|1000|0|0|4110300
31-MAR-2026|BEKS|EQUITY|51870438266|29|180090|521531186|1429400|27553570|16293906880|106985155|289653583|61002|2555718|17243856584|0|1720153|0|298519884|34570770|0|2015209|0|5|336826021
31-MAR-2026|BELI|EQUITY|135842883189|414|0|34501115116|561400|0|2000499927|58901700|62740530|0|0|36623818673|0|546081|925821|31655786|4840846|17112477|6602400|0|2182705|63866116
31-MAR-2026|BELL|EQUITY|7250000000|160|0|6598684100|0|0|582546300|0|0|0|0|7181230400|0|0|0|61177500|46400|0|7545700|0|0|68769600
31-MAR-2026|BESS|EQUITY|3440455528|1220|0|503209233|0|0|237241395|0|0|0|0|740450628|0|0|0|4400|500|0|0|0|0|4900
